Unnamed: 0,제목,랭킹,저자,출판사,평점,리뷰수,가격
473,창의적 문제 해결을 위한 파이썬 프로그래밍,None,"김진일, 윤장혁",연두에디션,0.0,0,20700
474,파이썬으로 만드는 OpenCV 프로젝트 (간단한 영상 입출력부터 머신러닝까지),None,이세우,인사이트,0.0,0,32400
475,Hello Coding 한입에 쏙 파이썬 (크리에이터 김왼손의 쉽고 빠른 파이썬 강의),None,"김왼손, 김태간",한빛미디어,0.0,0,13500
476,컴퓨터 사이언스 부트캠프 with 파이썬 (자료 구조와 알고리즘으로 배우는 컴퓨터 과학 기초!),None,양태환,길벗,0.0,0,21600
477,코딩 클럽 LV 3: 제대로 된 파이썬 앱 만들기 (파이썬으로 만드는 게임 프로그램),None,크리스 로피,한빛미디어,0.0,0,9000
478,마인크래프트로 배우는 파이썬 프로그래밍,None,크레이그 리처드슨,제이펍,0.0,0,22500
479,"파이썬을 이용한 실전 프로그래밍(한국어판) (응용프로그램 개발을 중심으로, 2판)",None,Ljubomir Perkovic,홍릉과학출판사,0.0,0,34650
480,아두이노와 피지컬 컴퓨팅 with 파이썬,None,"이원규, 김자미 외 1명",교학사,0.0,0,14400
481,파이썬으로 만드는 서버리스 애플리케이션 (24시간 사용 가능한 효율적인 웹 애플리케이션 개발),None,잘렘 라지 로히트,에이콘출판,0.0,0,22500
482,"파이썬으로 배우는 데이터 과학 입문과 실습 (소규모 데이터셋 처리부터 빅데이터 처리, 머신러닝, 시각화까지)",None,"데이비 실린, 아르노 메이즈맨 외 1명",위키북스,0.0,0,24300
483,쉽게 배우는 파이썬 with 컴퓨팅 사고력,None,"황혜정, 유현수 외 2명",글로벌,0.0,0,18000
484,파이썬으로 실무에 바로 적용하는 머신 러닝,None,강봉주,에이콘출판,0.0,0,27000
485,컴퓨터 사고력 향상을 위한 데이터 구조 및 알고리즘: 파이썬 편 (컴퓨팅 사고력 향상을 위한),None,정인기,홍릉,0.0,0,24300
486,누구나 쉽게 따라하는 인공지능 (feat. 파이썬) (핵심만 쏙쏙 담은 생활밀착형 인공지능 입문서),None,이용권,씨마스21,5.0,1,18900
487,"파이썬을 제대로 활용해보려고 해(입문 + 활용) (파이썬 설치부터 업무자동화, 웹페이지 제작, 데이터 크롤링까지)",12월 신간도서,"최용, 스타트코딩",패스트캠퍼스,0.0,0,17820
488,파이썬 코드로 배우는 Git & Github (협업하는 개발자를 위한 버전 관리 지침서),None,유광명,영진닷컴,0.0,0,18000
489,생활코딩 머신러닝 실습편 with 파이썬 텐서플로 (누구나 쉽게 시작하는 인공지능 첫걸음),None,"이숙번, 이고잉",위키북스,0.0,0,11700
490,혼자 공부하는 첫 프로그래밍 with 파이썬 (1:1 과외하듯 배우는 왕초보 코딩 입문서),None,문현일,한빛미디어,4.7,165,14690
491,3step으로 확실하게 배우는 파이썬 입문 (3step으로 확실하게 배우는),None,"야마다 요시히로, 야마다 나미",시그마프레스,0.0,0,22500
492,유튜버 주간컴공 지마&참깨의 프리패스 파이썬 (처음 배우는 프로그래밍),None,"지마, 참깨",고시고시,0.0,0,16200
493,이제 시작이야! 컴퓨팅 사고력으로 인공지능까지 파이썬,None,"전수진, 박주연 외 1명",연두에디션,0.0,0,20700
494,데이터 과학을 위한 기초수학 with 파이썬,None,이병준,한빛아카데미,0.0,0,23400
495,알고리즘 구현으로 배우는 선형대수 with 파이썬 (행렬의 기초부터 텐서를 활용한 머신러닝과 딥러닝 적용까지),None,장철원,비제이퍼블릭,0.0,0,30600
496,파이썬과 함께 하는 EV3 로봇 창작 프로젝트 (한 권으로 끝내는 EV3 로봇 프로젝트!),None,김형기,삼양미디어,0.0,0,16200
497,슬기로운 파이썬생활 데이터 싹쓰리 & 업무자동화,None,서진수,가치랩스,0.0,0,29700
498,"파이썬과 대스크를 활용한 고성능 데이터 분석 (대규모 데이터셋 분석, 시각화, 모델링부터 분산 앱 패키징과 배포까지)",None,제시 대니얼,한빛미디어,0.0,0,25200
499,파이썬 프로그래밍으로 지루한 작업 자동화하기,None,알 스웨이가트,스포트라잇북,0.0,0,27000
500,파이썬 오픈소스 도구를 활용한 악성코드 분석,None,서준석,에이콘출판,0.0,0,37800
501,파이썬과 Fraudit을 활용한 회계부정적발,None,안정국,아진,0.0,0,45000
502,초보자를 위한 파이썬(Python) 200제,None,장삼용,정보문화사,4.6,56,18000
503,"Do it! 장고 + 부트스트랩 파이썬 웹 개발의 정석 (웹 기초부터 블로그 개발·배포·운영까지, 만들면서 배우는 웹 개발 A to Z)",None,"이성용, 김태곤",이지스퍼블리싱,5.0,2,28800
504,파이썬을 여행하는 히치하이커를 위한 안내서 (모범 사례와 실용 라이브러리로 더 파이썬답게!),None,"케네스 레이츠, 타냐 슐로서",인사이트,0.0,0,24300
505,컴퓨팅 사고력을 키워주는 파이썬 프로그래밍,None,김성호,글로벌,0.0,0,16200
506,"파이썬 함수 사용 설명서 : 내장함수, 클래스, 메서드 편 (내장함수, 클래스, 메서드 편)",None,권판검,글로벌,0.0,0,19800
507,파이썬과 코랩기반의 OpenCV로 배우는 영상처리,None,고병철,그린,0.0,0,18000
508,The Python - 파이썬 프로그래밍 3부 (파이썬 프로그래밍 3부),None,허진경,부크크(Bookk),0.0,0,0
509,The Python - 파이썬 프로그래밍 1부 (파이썬 프로그래밍 1부),None,허진경,부크크(Bookk),0.0,0,0
510,The Python - 파이썬 프로그래밍 2부 (파이썬 프로그래밍 2부),None,허진경,부크크(Bookk),0.0,0,0
511,파이썬으로 만드는 암호화폐 자동 거래 시스템 (24시간 운영되는 나만의 스마트 트레이딩 시스템 만들기),None,박재현,위키북스,0.0,0,22500
512,The Python - 파이썬 프로그래밍(합본) (파이썬 프로그래밍(합본)),None,허진경,부크크(Bookk),0.0,0,54800
513,"파이썬을 이용한 머신러닝, 딥러닝 실전 앱 개발 (실무에서 즉시 활용 가능한 머신러닝, 딥러닝 실전 앱 개발)",None,"쿠지라 히코우즈쿠에, 스기야마 요우이치",위키북스,0.0,0,0
514,"파이썬을 이용한 빅데이터 수집, 분석과 시각화 (페이스북, 트위터, 네이버, 공공, 일반 웹 데이터 기반)",None,이원하,비팬북스,0.0,0,21600
515,프로그래머를 위한 베이지안 with 파이썬 (파이썬과 PyMC로 구현하며 익히는 베이지안 방법론),None,캐머런 데이비슨 필론,길벗,0.0,0,24300
516,파이썬과 Jupyter Notebook (IPython을 활용한 데이터 분석과 시각화),None,시릴 로산트,에이콘출판,0.0,0,18000
517,"백견불여일타 파이썬 생활밀착형 프로젝트 (웹 크롤링, 카카오톡 메시지 보내기, 업무 자동화까지 11가지 파이썬 프로젝트)",None,김효실,로드북,5.0,3,22500
518,하루에 쪼갠다 파이썬 (실전코드 핵심기초) (컬러판) (실전코드 핵심기초),None,코딩 코치스 Coding Coaches,부크크(bookk),0.0,0,9800
519,"C#과 파이썬을 활용한 OpenCV 4 프로그래밍 (컴퓨터 비전 기초 이론부터 머신러닝을 활용한 영상 처리 프로젝트까지, 개정판)",None,윤대희,위키북스,5.0,1,32400
520,파이썬으로 시작하는 로봇 활용 SW 교육 : 햄스터,None,"황준, 연승욱 외 1명",영진닷컴,0.0,0,16200
521,"파이썬 기반의 AI를 위한 기초수학, 확률 및 통계",None,강봉주,자유아카데미,0.0,0,31680
522,한권으로 개발자가 원하던 파이썬 심화 A to Z (실무를 위해 반드시 알아야 할 데코레이터와 디스크립터 이해하기),None,문용준,잇플,0.0,0,28800
523,파이썬을 활용한 크롤러 개발과 스크레이핑 입문 (크롤러 설계와 개발부터 수집 데이터 분석과 운용까지),None,"카토 카츠야, 요코야마 유우키",위키북스,0.0,0,27000
524,파이썬과 케라스로 배우는 대소니의 딥러닝 기초 (파이썬과 케라스로 배우는),None,김철우,디지털북스,0.0,0,20700
525,파이썬 터틀 그래픽을 이용한 프로그래밍과 코딩,None,정민영,21세기사,0.0,0,18000
526,비전공자 컴퓨팅사고력 향상을 위한 파이썬 응용,None,오하영,휴먼싸이언스,0.0,0,16200
527,"파이썬을 이용한 머신러닝, 딥러닝 실전 개발 입문 (웹 크롤링과 스크레이핑부터 머신러닝ㆍ딥러닝까지 체계적으로 배우기)",None,쿠지라 히코우즈쿠에,위키북스,5.0,2,25920
528,파이썬 라이브러리로 배우는 딥러닝 입문과 응용,None,"발렌티노 조카, 지안마리오 스파카냐 외 2명",제이펍,0.0,0,25200
529,"파이썬을 이용한 머신러닝, 딥러닝 실전 개발 입문 (웹 크롤링과 스크레이핑부터 머신러닝 딥러닝까지 체계적으로 배우기)",None,쿠지라 히코우즈쿠에,위키북스,0.0,0,27000
530,파이썬을 이용한 인터랙티브 대시보드 만들기 (컬러판),None,"홍성준, 홍성수",부크크(bookk),0.0,0,32800
531,"한 번 배운 파이썬, 나만의 활용 스킬 (개발자가 아니어도 도전하는 일상과 업무 자동화)",None,이강성,프리렉,0.0,0,18000
532,"머신 러닝을 다루는 기술 with 파이썬, 사이킷런 (간단한 수학부터 학습 프로세스, 패턴, 전략까지!)",None,마크 페너,길벗,0.0,0,30600
533,Step by Step 파이썬 비즈니스 통계분석(개정판) (빅 데이터 분석 자격증 통계 분야 학습서),None,김형수,프레딕스,0.0,0,28800
534,Step by Step 파이썬 비즈니스 통계분석,None,김형수,프레딕스,0.0,0,32000
535,박쌤과 함께 다양한 예제로 배우는 완전 쉬운 파이썬 (박쌤과 함께 다양한 예제로 배우는 완전 쉬운),None,박병기,아티오,0.0,0,20700
536,파이썬 자료구조와 알고리즘 for Beginner,None,우재남,한빛아카데미,0.0,0,24300
537,Let’s 실전 예제로 배우는 파이썬 프로그래밍,None,김진성,아이비김영,0.0,0,22000
538,파이썬 프로그래밍 기초부터 응용까지 세트 - 전2권 (코어 파이썬 애플리케이션 프로그래밍+개념을 잡아주는 프로그래밍 정석),None,"웨슬리 천, 제니퍼 캠벨 외 3명",에이콘출판,0.0,0,61200
539,파이썬과 OpenCV로 실습하며 배우는 영상처리,None,김성영,카오스북,0.0,0,20700
540,"한권으로 파이썬과 드론 날로 먹기: 인공지능편(드론포함) (파이썬의 기초문법, 응용 예제가 한권에 | 파이썬 첫걸음을 드론과 함께)",None,"이현종, 박재일",잇플,0.0,0,0
541,파이썬과 기계 학습(acorn+PACKT 시리즈) (scikit-learn을 활용한),None,"라울 가레타, 기예르모 몬세치",에이콘출판,0.0,0,12600
542,C#과 파이썬을 활용한 OpenCV 4 프로그래밍 (컴퓨터 비전 기초 이론부터 머신러닝을 활용한 영상 처리 프로젝트까지),None,윤대희,위키북스,0.0,0,31500
543,파이썬과 OpenCV를 이용한 컴퓨터 비전 학습 (컴퓨터 비전 애플리케이션을 만들기 위한 강력한 OpenCV 3와 파이썬 활용하),None,알렉세이 스피쉐보이,에이콘출판,0.0,0,31500
544,이토록 쉬운 딥러닝을 위한 기초 수학 with 파이썬,None,마스이 도시카츠,루비페이퍼,0.0,0,25200
545,"파이썬과 리액트를 활용한 주식 자동 거래 시스템 구축 (데이터 수집부터 거래자동화, API 서버, 웹 개발, 데이터분석까지 아우르는)",None,박재현,위키북스,5.0,2,25200
546,코딩 초보자를 위한 데이터 중심의 파이썬 프로그래밍 (코딩 초보자를 위한 데이터 중심의),None,"길준민, 박지수",인피니티북스,0.0,0,21340
547,파이썬 Jupyter Notebook 실전 입문 (데이터 분석에 필수적인 Jupyter Notebook 완벽 가이드),None,"이케우치 타카히로, 카타야나기 노부코 외 2명",터닝포인트,0.0,0,22500
548,파이썬과 케라스를 이용한 딥러닝/강화학습 주식투자 (퀀트 투자 알고리즘 트레이딩을 위한 최첨단 해법 입문),None,퀀티랩,위키북스,0.0,0,25200
549,파이썬을 활용한 베이지안 통계(Think Bayes) (동전 던지기와 하키 승률로 배우는 데이터 분석),None,앨런 B. 다우니,한빛미디어,0.0,0,0
550,"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로 (Numpy, scikit-learn 0.2x, TensorFlow 2.x로 배우는 머신 러닝)",None,"세바스찬 라시카, 바히드 미자리리",길벗,0.0,0,29700
551,백엔드를 위한 Django REST Framework with 파이썬,None,권태형,영진닷컴,0.0,0,16200
552,파이썬으로 배우는 Anti-Virus 구조와 원리 (예제와 오픈소스를 통해 이해하는 악성코드의 진단과 치료),None,최원혁,비제이퍼블릭,0.0,0,30600
553,파이썬을 활용한 공격적 & 방어적 해킹 프로그래밍 세트 (창의적이고 새로운 관점을 제시하는 해킹과 방어 기법),None,저스틴 지이츠,에이콘출판,0.0,0,42120
554,파이썬과 케라스를 이용한 딥러닝/강화학습 주식투자 (퀀트 투자 알고리즘 트레이딩을 위한 최첨단 해법 입문),None,김문권,위키북스,0.0,0,0
555,슬기로운 코딩 생활 with 파이썬 으랏차차 기초편 (즐겁게 시작하고 똑똑하게 끝내는 코딩 교과서),None,김정욱,루비페이퍼,0.0,0,0
556,머신 러닝·딥 러닝에 필요한 기초 수학 with 파이썬,None,조준우,인사이트,4.0,2,24300
557,"직장인을 위한 데이터 분석 실무 with 파이썬 (개정판) (마케팅, 영업, 기획 실무 담당자를 위한 데이터 분석의 기술, 개정판)",None,"이형석, 장남수 외 2명",위키북스,4.7,3,25200
558,애프터스킬 파이썬 프로젝트 Active 개발 가이드 (환경부터 프레임워크까지 100% 실무 기법서),None,최원우,아이콕스(iCox),0.0,0,18000
559,선형대수와 통계학으로 배우는 머신러닝 with 파이썬 (최적화 개념부터 텐서플로를 활용한 딥러닝까지),None,장철원,비제이퍼블릭,5.0,1,32400
560,"라즈베리파이 피코, 마이크로파이썬을 만나다 (마이크로파이썬으로 시작하는 마이크로컨트롤러 프로그래밍)",None,허경용 지음,제이펍,0.0,0,22500
561,셜록 홈즈 만화로 배우는 파이썬 : 8주 안에 끝내는 가장 쉬운 파이썬,None,"정준우, 김민기 공저",페스트북,0.0,0,19200
562,컴퓨팅 사고와 함께하는 파이썬 기초부터 인공지능 응용까지,None,"김성백, 김철민 외 1명",연두에디션,4.0,1,21600
563,"머신러닝 딥러닝을 이용한 A.I. 자율주행 RC카 프로젝트 with 파이썬+아두이노 (만들기, 동키카 체험, 아두이노 RC카 체험과 코딩, 인공지능 학습, 자율주행)",None,서민우,앤써북,0.0,0,16200
564,내가 하는 사물인터넷 프로그래밍 1 : 라즈베리 파이 파이썬 편,None,"설상동, 김혜숙",지식과감성#,0.0,0,18000
565,"파이썬으로 살펴보는 아키텍처 패턴: TDD, DDD, EDM 적용하기 (TDD, DDD, EDM 적용하기)",None,"해리 퍼시벌, 밥 그레고리",한빛미디어,0.0,0,27650
566,파이썬만 잡아도: 기초를 탄탄히 세우는 Python 프로그래밍 (기초를 탄탄히 세우는 Python 프로그래밍),None,"김병만, 문창배",카오스북,0.0,0,25000
567,ELS 평가를 위한 몬테카를로 시뮬레이션과 유한차분법 : 파이썬 활용 (파이썬 활용),None,"한현수, 장한별 외 3명",지오북스,0.0,0,17100
568,"Effective Python 2nd 이펙티브 파이썬 : 파이썬 코딩의 기술 (똑똑하게 코딩하는 법, 개정판)",None,브렛 슬라킨,길벗,5.0,1,28800
569,파이썬 딥러닝 파이토치(Python Deep Learning PyTorch),None,"이경택, 방성수 외 1명",정보문화사,4.5,2,21600
570,"Let’s Start Coding with Raptor & Python (랩터 & 파이썬) (Computational Thinking for Problem-solving, 2nd Ediiton)",None,김충석,앤아이컴즈,0.0,0,21600
571,Let’s Start Coding with Raptor & Python(랩터 & 파이썬) (컴퓨터 사고력 프로그래밍),None,김충석,이한미디어,0.0,0,0
572,데이터 과학을 위한 통계 : 데이터 분석에서 머신러닝까지 파이썬과 R로 살펴보는 50가지 핵심 개념 (데이터 분석에서 머신러닝까지 파이썬과 R로 살펴보는 50가지 핵심 개념),None,"피터 브루스, 앤드루 브루스 외 1명",한빛미디어,0.0,0,30600
573,파이썬 라이브러리를 활용한 머신러닝 : 사이킷런 핵심 개발자가 쓴 머신러닝과 데이터 과학 실무서,None,세라 가이도,한빛미디어,0.0,0,27000
574,코어 파이썬 애플리케이션 프로그래밍 Core Python Applications Programming Third Edition,None,웨슬리 천,에이콘출판,0.0,0,45000
575,파이썬,None,미상,웅진북센리빙올(wjbooxenlivingall),0.0,0,31500
576,파이썬,None,김영천,기한재,0.0,0,25000
578,파볼래? 파이썬!,None,박상근,유페이퍼,0.0,0,10000
579,파볼래? 파이썬!,None,유페이퍼,유페이퍼,0.0,0,10000
580,파볼래? 파이썬!,None,유페이퍼,유페이퍼,0.0,0,9000
581,디딤돌 파이썬,None,이찬수,인피니티북스,0.0,0,26100
582,파이썬 스킬 업,None,브라이언 오버랜드,길벗,0.0,0,36000
584,"안녕, 파이썬",None,김학인,북랩,0.0,0,16110
585,"안녕, 파이썬",None,김학인,북랩,0.0,0,16110
586,파이썬 연습,None,김기용,그린,0.0,0,23400
587,파이썬 훈련소,None,유페이퍼,유페이퍼,0.0,0,4500
588,파이썬 훈련소,None,북마크,유페이퍼,0.0,0,4500
589,파이썬 훈련소,None,북마크,유페이퍼,0.0,0,5000
590,새내기 파이썬,None,천인국,생능출판,0.0,0,30000
591,파이썬 스타트,None,박희재,인피니티북스,0.0,0,22500
592,파이썬 스타트,None,박희재,인피니티북스,0.0,0,22500
593,파이썬 스타트,None,박희재,인피니티북스,0.0,0,22500
594,"안녕, 파이썬",None,미상,북랩,0.0,0,16110
595,파이썬 정복,None,미상,웅진북센리빙올(wjbooxenlivingall),0.0,0,19800
596,안녕 파이썬,None,미상,웅진북센리빙올(wjbooxenlivingall),0.0,0,16110
597,파이썬 증권 데이터 분석,None,한빛미디어,한빛미디어,0.0,0,28800
598,파이썬 딥러닝 케라스 (다양한 데이터와 예제로 시작하는 케라스!),None,정보문화사,정보문화사,0.0,0,19000
599,"안녕, 파이썬 책",None,김학인,북랩,0.0,0,16110
600,스타트 파이썬,None,황재호,인포앤북,0.0,0,18900
601,스타트 파이썬,None,황재호,인포앤북,0.0,0,18900
602,파이썬 정복,None,김상형,한빛미디어,0.0,0,19800
603,파이썬 첫걸음 1,None,(주)세종로봇코딩연구소,(주)세종로봇코딩연구소,0.0,0,4500
604,파이썬 첫걸음 2,None,(주)세종로봇코딩연구소,(주)세종로봇코딩연구소,0.0,0,4500
605,파이썬 입문,None,야마다.요시히로.야마다.나미,시그마프레스,0.0,0,22500
606,으뜸 파이썬,None,박동규.강영민,생능출판,0.0,0,32000
616,누구나 파이썬,None,전익진,디스커버리미디어,0.0,0,15750
617,누구나 파이썬,None,전익진,디스커버리미디어,0.0,0,15750
618,디딤돌 파이썬,None,미상,인피니티북스,0.0,0,26100
619,모두의 파이썬,None,미상,길벗,0.0,0,10800
620,파이썬 딥러닝 케라스,None,조한성,정보문화사,0.0,0,25200
621,파이썬 딥러닝 케라스,None,조한성,정보문화사,0.0,0,25200
622,마케터의 파이썬,None,정희석,e비즈북스,0.0,0,22000
623,나혼자 파이썬,None,이창현,디지털북스,0.0,0,13500
624,나혼자 파이썬,None,이창현,디지털북스,0.0,0,13500
625,혼자 공부하는 파이썬,None,윤인성,한빛미디어,0.0,0,19800
626,혼자 공부하는 파이썬,None,윤인성,한빛미디어,0.0,0,19800
627,파이썬 스킬 업,None,브라이언 오버랜드,길벗,0.0,0,36000
628,파이썬 스킬 업,None,브라이언.오버랜드.존.베넷,길벗,0.0,0,36000
629,파이썬 스킬 업,None,브라이언.오버랜드.존.베넷,길벗,0.0,0,36000
630,파이썬 챌린지,None,니콜라.레이시,제이펍,0.0,0,10080
631,파이썬 챌린지,None,니콜라.레이시,제이펍,0.0,0,10080
632,고성능 파이썬,None,미샤.고렐릭.이안.오스발트,한빛미디어,0.0,0,32400
633,고성능 파이썬,None,미샤.고렐릭.이안.오스발트,한빛미디어,0.0,0,32400
634,파이썬의 정석,None,시바타.보요,루비페이퍼,0.0,0,23400
635,파이썬의 정석,None,시바타.보요,루비페이퍼,0.0,0,23400
636,진지한 파이썬,None,쥘리앵.당주,한빛미디어,0.0,0,25200
637,진지한 파이썬,None,쥘리앵.당주,한빛미디어,0.0,0,25200
638,진지한 파이썬,None,쥘리앵당주,한빛미디어,0.0,0,25200
639,연오의 파이썬,None,박연오,인사이트,0.0,0,17820
640,파이썬 첫걸음,None,James.R.Payne,잇플,0.0,0,23400
641,나의 첫 파이썬,None,에릭.마테스,한빛미디어,0.0,0,27000
642,나의 첫 파이썬,None,에릭.마테스,한빛미디어,0.0,0,27000
643,이젠 나도! 파이썬,None,이지선,성안당,0.0,0,22500
644,이젠 나도! 파이썬,None,이지선,성안당,0.0,0,22500
645,이젠 나도! 파이썬,None,이지선,성안당,0.0,0,22500
646,파이썬 코딩 도장,None,미상,길벗,0.0,0,22500
647,파이썬 코딩 도장,None,미상,길벗,0.0,0,22500
648,파이썬 코딩도장,None,미상,웅진북센리빙올(wjbooxenlivingall),0.0,0,22500
649,이젠 나도 파이썬,None,미상,웅진북센리빙올(wjbooxenlivingall),0.0,0,22500
